client,available,held,total,locked
10,38970.4,0.0,38970.4,false
29,227.49951,0.0,227.49951,false
20,28294.06,0.0,28294.06,false
33,8561.582,0.0,8561.582,false
22,65590.62,0.0,65590.62,false
34,24.060059,0.0,24.060059,false
24,60507.5,0.0,60507.5,false
5,67121.11,0.0,67121.11,false
38,22525.848,0.0,22525.848,false
8,4809.5625,0.0,4809.5625,false
41,6965.598,0.0,6965.598,false
45,470.2998,0.0,470.2998,false
43,36428.02,0.0,36428.02,false
7,36934.082,0.0,36934.082,false
16,5742.541,0.0,5742.541,false
40,41927.77,0.0,41927.77,false
1,31654.95,0.0,31654.95,false
44,492.1001,0.0,492.1001,false
3,4909.1104,0.0,4909.1104,false
17,1975.6104,0.0,1975.6104,false
23,25353.89,0.0,25353.89,false
2,19892.709,0.0,19892.709,false
39,23530.22,0.0,23530.22,false
12,31754.81,0.0,31754.81,false
9,22401.31,0.0,22401.31,false
26,17770.17,0.0,17770.17,false
27,2316.5,0.0,2316.5,false
25,18867.09,0.0,18867.09,false
11,1686.92,0.0,1686.92,false
35,20921.32,0.0,20921.32,false
32,24888.8,0.0,24888.8,false
